Arrecadação de fundos para caridade, P1
Geração de histórias, P2
Resumo de palestras, P3
Resposta a questões legais, P4
Julgamento de casos legais, P5
Entrega de sangue via Drone, P6
Rastreamento de drones, P7
Moderação de comunidades online, P8
Geração de deepfakes de atores falecidos para novos filmes, P9
Arte de rua, P10
Companhia para idosos, P11
Educação infantil, P12
Reportagem de notícias, P13
Ilustrações de livros infantis, P14
Serviços de transporte infantil, P15
Compartilhamento de caronas, P16
Policiamento comunitário, P17
Limpeza de ruas, P18
Reparo de estradas, P19
Paternidade, P20
Preparação para exames, P21
Tutoria de código de software, P22
Geração de música, P23
Geração de arte, P24
Redação de ensaios acadêmicos, P25
Educação sexual, P26
Preparação de refeições comunitárias, P27
Policiamento, P28
Treinamento de fitness, P29
Serviço de compartilhamento de carros, P30
Conservação da vida selvagem, P31
Diagnóstico de saúde mental, P32
Apresentações de teatro de improvisação, P33
Poupança comunitária, P34
Evento de troca de habilidades para novas aprendizagens, P35
Grupo de apoio à saúde mental, P36
Arquivo digital para histórias locais, P37
Pesquisa da história da comunidade, P38
Crowdsourcing de soluções de transporte, P39
Limpeza e restauração de parques, P40
Iniciativa de diversidade e inclusão, P41
Programa de mentoria para estudantes, P42
Plataforma de compartilhamento de recursos para artistas, P43
Hackathon de tecnologia de acessibilidade, P44
Campanha de alfabetização e educação, P45
Mapeamento de melhoria de infraestrutura, P46
Currículo de educação alternativa, P47
Mercado de bens e serviços locais, P48
Apoio à agricultura sustentável, P49
Workshops de reparo doméstico DIY, P50
Rede de apoio a cuidadores, P51
Iniciativa de combate à insegurança alimentar, P52
Evento de treinamento em alfabetização digital, P53
Plataforma de apoio a pequenas empresas, P54
Campanha de conscientização sobre saúde mental, P55
Programa de mentoria para recém-chegados, P56
Preservação do patrimônio cultural indígena, P57
Promoção de transporte sustentável, P58
Desenvolvimento de guia para recém-chegados, P59
Série de workshops de vida sustentável, P60
Compartilhamento de recursos de parentalidade sustentável, P61
Evento de energia renovável DIY, P62
Iniciativa de apoio a artesãos locais, P63
Troca de dicas de jardinagem e permacultura, P64
Promoção do engajamento cívico, P65
Projeto de mapeamento de ativos comunitários, P66
Mercado de compartilhamento de produtos e bens, P67
Esforço de apoio à conservação da vida selvagem, P68
