RESPOSTAS,NÚMEROS
Desvio de fundos,R1
Conteúdo classificado como R de 0 a 100,R2
Sabotagem entre pares,R3
Propagação de informações incorretas,R4
Vieses humanos,R5
Genocídio em massa,R6
Engarrafamentos de drones,R7
Brutalidade humana,R8
Morto por supermoderação,R9
Guerras de território,R10
Nenhum par quer se envolver,R11
Falência,R12
Deepfakes,R13
Material explícito,R14
Abuso,R15
Sequestro,R16
Armas fora de controle,R17
Falta de interesse,R18
Qualidade variável,R19
Trauma infantil,R20
Reações alérgicas,R21
Violência aumentada,R22
Lesão,R23
Acidente de carro,R24
Destruição do habitat,R25
Relatórios falsos,R26
Intoxicação alimentar,R27
Justiçamento,R28
Conselhos enganosos,R29
Roubo,R30
Caça,R31
Alarmismo,R32
Vandalismo,R33
Violação de dados,R34
Poluição ambiental,R35
Cyberbullying,R36
Deslocamento comunitário,R37
Violações regulatórias,R38
Interferência política,R39
Colapso da infraestrutura,R40
Manipulação psicológica,R41
Exploração de trabalhadores,R42
Apropriação cultural,R43
Invasão de privacidade,R44
Defeitos de produto,R45
Roubo de identidade,R46
Desastre natural,R47
Manipulação de mercado,R48
Vício,R49
Barreira linguística,R50
Perigo para a vida selvagem,R51
Isolamento social,R52
Protestos públicos,R53
Roubo de propriedade intelectual,R54
Greves trabalhistas,R55
Contaminação da água,R56
Recessão econômica,R57
Crise de saúde mental,R58
Corrupção,R59
Discriminação,R60
Congestionamento de tráfego,R61
Disrupção da cadeia de suprimentos,R62
Desemprego,R63
Disputas legais,R64
Expansão urbana,R65
Instabilidade financeira,R66
Dependência tecnológica,R67
Quedas de energia,R68
Crueldade animal,R69
Inflação,R70
Colapso estrutural,R71
Falta de supervisão,R72
Práticas insustentáveis,R73
Riscos à saúde,R74
Instabilidade social,R75
Violações de privacidade,R76
Dano emocional,R77
Consequências legais,R78
Riscos à segurança,R79
Penalidades financeiras,R80
Disrupções no serviço,R81
Exploração,R82
Perda de confiança,R83
Estereotipagem,R84
Roubo de identidade,R85
Perda de confiança,R86
Custos de recall,R87
Danos ao crédito,R88
Danos à propriedade,R89
Preços injustos,R90
Ineficiência,R91
Boicotes,R92
Criatividade,R93
